  Memory: 55 messages, 1 profile entries

[38;5;214m
       ██╗ █████╗ ██████╗ ██╗   ██╗██╗███████╗
       ██║██╔══██╗██╔══██╗██║   ██║██║██╔════╝
       ██║███████║██████╔╝██║   ██║██║███████╗
  ██   ██║██╔══██║██╔══██╗╚██╗ ██╔╝██║╚════██║
  ╚█████╔╝██║  ██║██║  ██║ ╚████╔╝ ██║███████║
   ╚════╝ ╚═╝  ╚═╝╚═╝  ╚═╝  ╚═══╝  ╚═╝╚══════╝
[0m
  [1mJ.A.R.V.I.S.[0m  v5.1 — Just A Rather Very Intelligent System
  ──────────────────────────────────────────
  [38;5;214m>[0m Phone:   https://192.168.101.13:8822
  [38;5;214m>[0m Local:   https://localhost:8822
  [38;5;214m>[0m SSL:     ON
  [15:21:27] "GET /jobs HTTP/1.1" 200 -
  [15:21:27] "GET /perms HTTP/1.1" 200 -
  [15:21:29] "GET /jobs HTTP/1.1" 200 -
  [15:21:29] "GET /perms HTTP/1.1" 200 -
  [15:21:30] "GET /jobs HTTP/1.1" 200 -
  [15:21:30] "GET /perms HTTP/1.1" 200 -
  [15:21:32] "GET /jobs HTTP/1.1" 200 -
  [15:21:32] "GET /perms HTTP/1.1" 200 -
  [15:21:33] "GET /jobs HTTP/1.1" 200 -
  [15:21:33] "GET /perms HTTP/1.1" 200 -
  [15:21:35] "GET /jobs HTTP/1.1" 200 -
  [15:21:35] "GET /perms HTTP/1.1" 200 -
  [15:21:36] "GET /jobs HTTP/1.1" 200 -
  [15:21:36] "GET /perms HTTP/1.1" 200 -
  [15:21:37] "POST /send HTTP/1.1" 200 -
  [15:21:37] >> #2: właśnie Przepisz to co działo przy wysyłaniu CV wcześniej uważam że robisz jeden
  [15:21:37] "GET /jobs HTTP/1.1" 200 -
  [15:21:37] "GET /perms HTTP/1.1" 200 -
  [15:21:38] "GET /jobs HTTP/1.1" 200 -
  [15:21:38] "GET /perms HTTP/1.1" 200 -
  [15:21:39] "GET /jobs HTTP/1.1" 200 -
  [15:21:39] "GET /jobs HTTP/1.1" 200 -
  [15:21:39] "GET /perms HTTP/1.1" 200 -
  [15:21:41] "GET /jobs HTTP/1.1" 200 -
  [15:21:41] "GET /perms HTTP/1.1" 200 -
  [15:21:41] "GET /jobs HTTP/1.1" 200 -
  [15:21:42] "GET /jobs HTTP/1.1" 200 -
  [15:21:42] "GET /perms HTTP/1.1" 200 -
  [15:21:43] "GET /jobs HTTP/1.1" 200 -
  [15:21:44] "GET /jobs HTTP/1.1" 200 -
  [15:21:44] "GET /perms HTTP/1.1" 200 -
  [15:21:45] "GET /jobs HTTP/1.1" 200 -
  [15:21:45] "GET /jobs HTTP/1.1" 200 -
  [15:21:45] "GET /perms HTTP/1.1" 200 -
  [15:21:47] "GET /jobs HTTP/1.1" 200 -
  [15:21:47] "GET /perms HTTP/1.1" 200 -
  [15:21:47] "GET /jobs HTTP/1.1" 200 -
  [15:21:48] "GET /jobs HTTP/1.1" 200 -
  [15:21:48] "GET /perms HTTP/1.1" 200 -
  [15:21:49] "GET /jobs HTTP/1.1" 200 -
  [15:21:50] "GET /jobs HTTP/1.1" 200 -
  [15:21:50] "GET /perms HTTP/1.1" 200 -
  [15:21:51] "GET /jobs HTTP/1.1" 200 -
  [15:21:51] "GET /jobs HTTP/1.1" 200 -
  [15:21:51] "GET /perms HTTP/1.1" 200 -
  [15:21:53] "GET /jobs HTTP/1.1" 200 -
  [15:21:53] "GET /perms HTTP/1.1" 200 -
  [15:21:53] "GET /jobs HTTP/1.1" 200 -
  [15:21:54] "GET /jobs HTTP/1.1" 200 -
  [15:21:54] "GET /perms HTTP/1.1" 200 -
  [15:21:55] "GET /jobs HTTP/1.1" 200 -
  [15:21:56] "GET /jobs HTTP/1.1" 200 -
  [15:21:56] "GET /perms HTTP/1.1" 200 -
  [15:21:57] "GET /jobs HTTP/1.1" 200 -
  [15:21:57] "GET /jobs HTTP/1.1" 200 -
  [15:21:57] "GET /perms HTTP/1.1" 200 -
  [15:21:59] "GET /jobs HTTP/1.1" 200 -
  [15:21:59] "GET /perms HTTP/1.1" 200 -
  [15:21:59] "GET /jobs HTTP/1.1" 200 -
  [15:22:00] "GET /jobs HTTP/1.1" 200 -
  [15:22:00] "GET /perms HTTP/1.1" 200 -
  [15:22:01] "GET /jobs HTTP/1.1" 200 -
  [15:22:02] "GET /jobs HTTP/1.1" 200 -
  [15:22:02] "GET /perms HTTP/1.1" 200 -
  [15:22:03] "GET /jobs HTTP/1.1" 200 -
  [15:22:03] "GET /jobs HTTP/1.1" 200 -
  [15:22:03] "GET /perms HTTP/1.1" 200 -
  [15:22:05] "GET /jobs HTTP/1.1" 200 -
  [15:22:05] "GET /perms HTTP/1.1" 200 -
  [15:22:05] "GET /jobs HTTP/1.1" 200 -
  [15:22:06] "GET /jobs HTTP/1.1" 200 -
  [15:22:06] "GET /perms HTTP/1.1" 200 -
  [15:22:07] "GET /jobs HTTP/1.1" 200 -
  [15:22:08] "GET /jobs HTTP/1.1" 200 -
  [15:22:08] "GET /perms HTTP/1.1" 200 -
  [15:22:09] "GET /jobs HTTP/1.1" 200 -
  [15:22:09] "GET /jobs HTTP/1.1" 200 -
  [15:22:09] "GET /perms HTTP/1.1" 200 -
  [15:22:11] "GET /jobs HTTP/1.1" 200 -
  [15:22:11] "GET /perms HTTP/1.1" 200 -
  [15:22:11] "GET /jobs HTTP/1.1" 200 -
  [15:22:12] "GET /jobs HTTP/1.1" 200 -
  [15:22:12] "GET /perms HTTP/1.1" 200 -
  [15:22:13] "GET /jobs HTTP/1.1" 200 -
  [15:22:14] "GET /jobs HTTP/1.1" 200 -
  [15:22:14] "GET /perms HTTP/1.1" 200 -
  [15:22:15] "GET /jobs HTTP/1.1" 200 -
  [15:22:15] "GET /jobs HTTP/1.1" 200 -
  [15:22:15] "GET /perms HTTP/1.1" 200 -
  [15:22:17] "GET /jobs HTTP/1.1" 200 -
  [15:22:17] "GET /perms HTTP/1.1" 200 -
  [15:22:17] "GET /jobs HTTP/1.1" 200 -
  [15:22:18] "GET /jobs HTTP/1.1" 200 -
  [15:22:18] "GET /perms HTTP/1.1" 200 -
  [15:22:19] "GET /jobs HTTP/1.1" 200 -
  [15:22:20] "GET /jobs HTTP/1.1" 200 -
  [15:22:20] "GET /perms HTTP/1.1" 200 -
  [15:22:21] "GET /jobs HTTP/1.1" 200 -
  [15:22:21] "GET /jobs HTTP/1.1" 200 -
  [15:22:21] "GET /perms HTTP/1.1" 200 -
  [15:22:23] "GET /jobs HTTP/1.1" 200 -
  [15:22:23] "GET /perms HTTP/1.1" 200 -
  [15:22:23] "GET /jobs HTTP/1.1" 200 -
  [15:22:24] "GET /jobs HTTP/1.1" 200 -
  [15:22:24] "GET /perms HTTP/1.1" 200 -
  [15:22:25] "GET /jobs HTTP/1.1" 200 -
  [15:22:26] "GET /jobs HTTP/1.1" 200 -
  [15:22:26] "GET /perms HTTP/1.1" 200 -
  [15:22:27] "GET /jobs HTTP/1.1" 200 -
  [15:22:27] "GET /jobs HTTP/1.1" 200 -
  [15:22:27] "GET /perms HTTP/1.1" 200 -
  [15:22:29] "GET /jobs HTTP/1.1" 200 -
  [15:22:29] "GET /perms HTTP/1.1" 200 -
  [15:22:29] "GET /jobs HTTP/1.1" 200 -
  [15:22:30] "GET /jobs HTTP/1.1" 200 -
  [15:22:30] "GET /perms HTTP/1.1" 200 -
  [15:22:31] "GET /jobs HTTP/1.1" 200 -
  [15:22:32] "GET /jobs HTTP/1.1" 200 -
  [15:22:32] "GET /perms HTTP/1.1" 200 -
  [15:22:33] "GET /jobs HTTP/1.1" 200 -
  [15:22:33] "GET /jobs HTTP/1.1" 200 -
  [15:22:33] "GET /perms HTTP/1.1" 200 -
  [15:22:35] "GET /jobs HTTP/1.1" 200 -
  [15:22:35] "GET /perms HTTP/1.1" 200 -
  [15:22:35] "GET /jobs HTTP/1.1" 200 -
  [15:22:36] "GET /jobs HTTP/1.1" 200 -
  [15:22:36] "GET /perms HTTP/1.1" 200 -
  [15:22:37] "GET /jobs HTTP/1.1" 200 -
  [15:22:38] "GET /jobs HTTP/1.1" 200 -
  [15:22:38] "GET /perms HTTP/1.1" 200 -
  [15:22:39] "GET /jobs HTTP/1.1" 200 -
  [15:22:39] "GET /jobs HTTP/1.1" 200 -
  [15:22:39] "GET /perms HTTP/1.1" 200 -
  [15:22:41] "GET /jobs HTTP/1.1" 200 -
  [15:22:41] "GET /perms HTTP/1.1" 200 -
  [15:22:41] "GET /jobs HTTP/1.1" 200 -
  [15:22:42] "GET /jobs HTTP/1.1" 200 -
  [15:22:42] "GET /perms HTTP/1.1" 200 -
  [15:22:43] "GET /jobs HTTP/1.1" 200 -
  [15:22:44] "GET /jobs HTTP/1.1" 200 -
  [15:22:44] "GET /perms HTTP/1.1" 200 -
  [15:22:45] "GET /jobs HTTP/1.1" 200 -
  [15:22:45] "GET /jobs HTTP/1.1" 200 -
  [15:22:45] "GET /perms HTTP/1.1" 200 -
  [15:22:47] "GET /jobs HTTP/1.1" 200 -
  [15:22:47] "GET /perms HTTP/1.1" 200 -
  [15:22:47] "GET /jobs HTTP/1.1" 200 -
  [15:22:48] "GET /jobs HTTP/1.1" 200 -
  [15:22:48] "GET /perms HTTP/1.1" 200 -
  [15:22:49] "GET /jobs HTTP/1.1" 200 -
  [15:22:50] "GET /jobs HTTP/1.1" 200 -
  [15:22:50] "GET /perms HTTP/1.1" 200 -
  [15:22:51] "GET /jobs HTTP/1.1" 200 -
  [15:22:51] "GET /jobs HTTP/1.1" 200 -
  [15:22:51] "GET /perms HTTP/1.1" 200 -
  [15:22:53] "GET /jobs HTTP/1.1" 200 -
  [15:22:53] "GET /perms HTTP/1.1" 200 -
  [15:22:53] "GET /jobs HTTP/1.1" 200 -
  [15:22:54] "GET /jobs HTTP/1.1" 200 -
  [15:22:54] "GET /perms HTTP/1.1" 200 -
  [15:22:55] "GET /jobs HTTP/1.1" 200 -
  [15:22:56] "GET /jobs HTTP/1.1" 200 -
  [15:22:56] "GET /perms HTTP/1.1" 200 -
  [15:22:57] "GET /jobs HTTP/1.1" 200 -
  [15:22:57] "GET /jobs HTTP/1.1" 200 -
  [15:22:57] "GET /perms HTTP/1.1" 200 -
  [15:22:59] "GET /jobs HTTP/1.1" 200 -
  [15:22:59] "GET /perms HTTP/1.1" 200 -
  [15:22:59] "GET /jobs HTTP/1.1" 200 -
  [15:23:00] "GET /jobs HTTP/1.1" 200 -
  [15:23:00] "GET /perms HTTP/1.1" 200 -
  [15:23:01] "GET /jobs HTTP/1.1" 200 -
  [15:23:02] "GET /jobs HTTP/1.1" 200 -
  [15:23:02] "GET /perms HTTP/1.1" 200 -
  [15:23:03] "GET /jobs HTTP/1.1" 200 -
  [15:23:03] "GET /jobs HTTP/1.1" 200 -
  [15:23:03] "GET /perms HTTP/1.1" 200 -
  [15:23:05] "GET /jobs HTTP/1.1" 200 -
  [15:23:05] "GET /perms HTTP/1.1" 200 -
  [15:23:05] "GET /jobs HTTP/1.1" 200 -
  [15:23:06] "GET /jobs HTTP/1.1" 200 -
  [15:23:06] "GET /perms HTTP/1.1" 200 -
  [15:23:07] "GET /jobs HTTP/1.1" 200 -
  [15:23:08] "GET /jobs HTTP/1.1" 200 -
  [15:23:08] "GET /perms HTTP/1.1" 200 -
  [15:23:09] "GET /jobs HTTP/1.1" 200 -
  [15:23:09] "GET /jobs HTTP/1.1" 200 -
  [15:23:09] "GET /perms HTTP/1.1" 200 -
  [15:23:11] "GET /jobs HTTP/1.1" 200 -
  [15:23:11] "GET /perms HTTP/1.1" 200 -
  [15:23:11] "GET /jobs HTTP/1.1" 200 -
  [15:23:12] "GET /jobs HTTP/1.1" 200 -
  [15:23:12] "GET /perms HTTP/1.1" 200 -
  [15:23:13] "GET /jobs HTTP/1.1" 200 -
  [15:23:14] "GET /jobs HTTP/1.1" 200 -
  [15:23:14] "GET /perms HTTP/1.1" 200 -
  [15:23:15] "GET /jobs HTTP/1.1" 200 -
  [15:23:15] "GET /jobs HTTP/1.1" 200 -
  [15:23:15] "GET /perms HTTP/1.1" 200 -
  [15:23:17] "GET /jobs HTTP/1.1" 200 -
  [15:23:17] "GET /perms HTTP/1.1" 200 -
  [15:23:17] "GET /jobs HTTP/1.1" 200 -
  [15:23:18] "GET /jobs HTTP/1.1" 200 -
  [15:23:18] "GET /perms HTTP/1.1" 200 -
  [15:23:19] "GET /jobs HTTP/1.1" 200 -
  [15:23:20] "GET /jobs HTTP/1.1" 200 -
  [15:23:20] "GET /perms HTTP/1.1" 200 -
  [15:23:21] "GET /jobs HTTP/1.1" 200 -
  [15:23:21] "GET /jobs HTTP/1.1" 200 -
  [15:23:21] "GET /perms HTTP/1.1" 200 -
  [15:23:23] "GET /jobs HTTP/1.1" 200 -
  [15:23:23] "GET /perms HTTP/1.1" 200 -
  [15:23:23] "GET /jobs HTTP/1.1" 200 -
  [15:23:24] "GET /jobs HTTP/1.1" 200 -
  [15:23:24] "GET /perms HTTP/1.1" 200 -
  [15:23:25] "GET /jobs HTTP/1.1" 200 -
  [15:23:26] "GET /jobs HTTP/1.1" 200 -
  [15:23:26] "GET /perms HTTP/1.1" 200 -
  [15:23:27] "GET /jobs HTTP/1.1" 200 -
  [15:23:27] "GET /jobs HTTP/1.1" 200 -
  [15:23:27] "GET /perms HTTP/1.1" 200 -
  [15:23:29] "GET /jobs HTTP/1.1" 200 -
  [15:23:29] "GET /perms HTTP/1.1" 200 -
  [15:23:29] "GET /jobs HTTP/1.1" 200 -
  [15:23:30] "GET /jobs HTTP/1.1" 200 -
  [15:23:30] "GET /perms HTTP/1.1" 200 -
  [15:23:31] "GET /jobs HTTP/1.1" 200 -
  [15:23:32] "GET /jobs HTTP/1.1" 200 -
  [15:23:32] "GET /perms HTTP/1.1" 200 -
  [15:23:33] "GET /jobs HTTP/1.1" 200 -
  [15:23:33] "GET /jobs HTTP/1.1" 200 -
  [15:23:33] "GET /perms HTTP/1.1" 200 -
  [15:23:35] "GET /jobs HTTP/1.1" 200 -
  [15:23:35] "GET /perms HTTP/1.1" 200 -
  [15:23:35] "GET /jobs HTTP/1.1" 200 -
  [15:23:36] "GET /jobs HTTP/1.1" 200 -
  [15:23:36] "GET /perms HTTP/1.1" 200 -
  [15:23:37] "GET /jobs HTTP/1.1" 200 -
  [15:23:38] "GET /jobs HTTP/1.1" 200 -
  [15:23:38] "GET /perms HTTP/1.1" 200 -
  [15:23:39] "GET /jobs HTTP/1.1" 200 -
  [15:23:39] "GET /jobs HTTP/1.1" 200 -
  [15:23:39] "GET /perms HTTP/1.1" 200 -
  [15:23:41] "GET /jobs HTTP/1.1" 200 -
  [15:23:41] "GET /perms HTTP/1.1" 200 -
  [15:23:41] "GET /jobs HTTP/1.1" 200 -
  [15:23:42] "GET /jobs HTTP/1.1" 200 -
  [15:23:42] "GET /perms HTTP/1.1" 200 -
  [15:23:43] "GET /jobs HTTP/1.1" 200 -
  [15:23:44] "GET /jobs HTTP/1.1" 200 -
  [15:23:44] "GET /perms HTTP/1.1" 200 -
  [15:23:45] "GET /jobs HTTP/1.1" 200 -
  [15:23:45] "GET /jobs HTTP/1.1" 200 -
  [15:23:45] "GET /perms HTTP/1.1" 200 -
  [15:23:47] "GET /jobs HTTP/1.1" 200 -
  [15:23:47] "GET /perms HTTP/1.1" 200 -
  [15:23:47] "GET /jobs HTTP/1.1" 200 -
  [15:23:48] "GET /jobs HTTP/1.1" 200 -
  [15:23:48] "GET /perms HTTP/1.1" 200 -
  [15:23:49] "GET /jobs HTTP/1.1" 200 -
  [15:23:50] "GET /jobs HTTP/1.1" 200 -
  [15:23:50] "GET /perms HTTP/1.1" 200 -
  [15:23:51] "GET /jobs HTTP/1.1" 200 -
  [15:23:51] "GET /jobs HTTP/1.1" 200 -
  [15:23:51] "GET /perms HTTP/1.1" 200 -
  [15:23:53] "GET /jobs HTTP/1.1" 200 -
  [15:23:53] "GET /perms HTTP/1.1" 200 -
  [15:23:53] "GET /jobs HTTP/1.1" 200 -
  [15:23:54] "GET /jobs HTTP/1.1" 200 -
  [15:23:54] "GET /perms HTTP/1.1" 200 -
  [15:23:55] "GET /jobs HTTP/1.1" 200 -
  [15:23:56] "GET /jobs HTTP/1.1" 200 -
  [15:23:56] "GET /perms HTTP/1.1" 200 -
  [15:23:57] "GET /jobs HTTP/1.1" 200 -
  [15:23:57] "GET /jobs HTTP/1.1" 200 -
  [15:23:57] "GET /perms HTTP/1.1" 200 -
  [15:23:58] "POST /send HTTP/1.1" 200 -
  [15:23:58] >> #3: dobra Dopisz jeszcze zabezpieczenie bo widzę że działa wysyłanie plików tylko Do
  [15:23:58] "GET /jobs HTTP/1.1" 200 -
  [15:23:58] "GET /perms HTTP/1.1" 200 -
  [15:23:59] "GET /jobs HTTP/1.1" 200 -
  [15:23:59] "GET /perms HTTP/1.1" 200 -
  [15:23:59] "GET /jobs HTTP/1.1" 200 -
  [15:24:00] "GET /jobs HTTP/1.1" 200 -
  [15:24:00] "GET /jobs HTTP/1.1" 200 -
  [15:24:00] "GET /perms HTTP/1.1" 200 -
  [15:24:01] "GET /jobs HTTP/1.1" 200 -
  [15:24:02] "GET /jobs HTTP/1.1" 200 -
  [15:24:02] "GET /perms HTTP/1.1" 200 -
  [15:24:02] "GET /jobs HTTP/1.1" 200 -
  [15:24:03] "GET /jobs HTTP/1.1" 200 -
  [15:24:03] "GET /jobs HTTP/1.1" 200 -
  [15:24:03] "GET /perms HTTP/1.1" 200 -
  [15:24:04] "GET /jobs HTTP/1.1" 200 -
  [15:24:05] "GET /jobs HTTP/1.1" 200 -
  [15:24:05] "GET /perms HTTP/1.1" 200 -
  [15:24:05] "GET /jobs HTTP/1.1" 200 -
  [15:24:06] "GET /jobs HTTP/1.1" 200 -
  [15:24:06] "GET /jobs HTTP/1.1" 200 -
  [15:24:06] "GET /perms HTTP/1.1" 200 -
  [15:24:07] "GET /jobs HTTP/1.1" 200 -
  [15:24:08] "GET /jobs HTTP/1.1" 200 -
  [15:24:08] "GET /perms HTTP/1.1" 200 -
  [15:24:08] "GET /jobs HTTP/1.1" 200 -
  [15:24:09] "GET /jobs HTTP/1.1" 200 -
  [15:24:09] "GET /jobs HTTP/1.1" 200 -
  [15:24:09] "GET /perms HTTP/1.1" 200 -
  [15:24:10] "GET /jobs HTTP/1.1" 200 -
  [15:24:11] "GET /jobs HTTP/1.1" 200 -
  [15:24:11] "GET /perms HTTP/1.1" 200 -
  [15:24:11] "GET /jobs HTTP/1.1" 200 -
  [15:24:12] "GET /jobs HTTP/1.1" 200 -
  [15:24:12] "GET /jobs HTTP/1.1" 200 -
  [15:24:12] "GET /perms HTTP/1.1" 200 -
  [15:24:13] "GET /jobs HTTP/1.1" 200 -
  [15:24:14] "GET /jobs HTTP/1.1" 200 -
  [15:24:14] "GET /perms HTTP/1.1" 200 -
  [15:24:14] "GET /jobs HTTP/1.1" 200 -
  [15:24:15] "GET /jobs HTTP/1.1" 200 -
  [15:24:15] "GET /jobs HTTP/1.1" 200 -
  [15:24:15] "GET /perms HTTP/1.1" 200 -
  [15:24:16] "GET /jobs HTTP/1.1" 200 -
  [15:24:17] "GET /jobs HTTP/1.1" 200 -
  [15:24:17] "GET /perms HTTP/1.1" 200 -
  [15:24:17] "GET /jobs HTTP/1.1" 200 -
  [15:24:18] "GET /jobs HTTP/1.1" 200 -
  [15:24:18] "GET /jobs HTTP/1.1" 200 -
  [15:24:18] "GET /perms HTTP/1.1" 200 -
  [15:24:19] "GET /jobs HTTP/1.1" 200 -
  [15:24:20] "GET /jobs HTTP/1.1" 200 -
  [15:24:20] "GET /perms HTTP/1.1" 200 -
  [15:24:20] "GET /jobs HTTP/1.1" 200 -
  [15:24:21] "GET /jobs HTTP/1.1" 200 -
  [15:24:21] "GET /jobs HTTP/1.1" 200 -
  [15:24:21] "GET /perms HTTP/1.1" 200 -
  [15:24:22] "GET /jobs HTTP/1.1" 200 -
  [15:24:23] "GET /jobs HTTP/1.1" 200 -
  [15:24:23] "GET /perms HTTP/1.1" 200 -
  [15:24:23] "GET /jobs HTTP/1.1" 200 -
  [15:24:24] "GET /jobs HTTP/1.1" 200 -
  [15:24:24] "GET /jobs HTTP/1.1" 200 -
  [15:24:24] "GET /perms HTTP/1.1" 200 -
  [15:24:24] "GET /jobs HTTP/1.1" 200 -
  [15:24:24] "GET /perms HTTP/1.1" 200 -
  [15:24:25] "GET /jobs HTTP/1.1" 200 -
  [15:24:26] "GET /jobs HTTP/1.1" 200 -
  [15:24:26] "GET /perms HTTP/1.1" 200 -
  [15:24:27] "GET /jobs HTTP/1.1" 200 -
  [15:24:27] "GET /jobs HTTP/1.1" 200 -
  [15:24:27] "GET /perms HTTP/1.1" 200 -
  [15:24:29] "GET /jobs HTTP/1.1" 200 -
  [15:24:29] "GET /perms HTTP/1.1" 200 -
  [15:24:29] "GET /jobs HTTP/1.1" 200 -
  [15:24:30] "GET /jobs HTTP/1.1" 200 -
  [15:24:30] "GET /perms HTTP/1.1" 200 -
  [15:24:31] "GET /jobs HTTP/1.1" 200 -
  [15:24:32] "GET /jobs HTTP/1.1" 200 -
  [15:24:32] "GET /perms HTTP/1.1" 200 -
  [15:24:33] "GET /jobs HTTP/1.1" 200 -
  [15:24:33] "GET /jobs HTTP/1.1" 200 -
  [15:24:33] "GET /perms HTTP/1.1" 200 -
  [15:24:35] "GET /jobs HTTP/1.1" 200 -
  [15:24:35] "GET /perms HTTP/1.1" 200 -
  [15:24:35] "GET /jobs HTTP/1.1" 200 -
  [15:24:36] "GET /jobs HTTP/1.1" 200 -
  [15:24:36] "GET /perms HTTP/1.1" 200 -
  [15:24:37] "GET /jobs HTTP/1.1" 200 -
  [15:24:45] "GET /jobs HTTP/1.1" 200 -
  [15:24:45] "GET /perms HTTP/1.1" 200 -
  [15:24:45] "GET /jobs HTTP/1.1" 200 -
  [15:24:45] "GET /perms HTTP/1.1" 200 -
  [15:24:45] "GET /jobs HTTP/1.1" 200 -
  [15:24:45] "GET /perms HTTP/1.1" 200 -
  [15:24:45] "GET /jobs HTTP/1.1" 200 -
  [15:24:45] "GET /perms HTTP/1.1" 200 -
  [15:24:45] "GET /perms HTTP/1.1" 200 -
  [15:24:45] "GET /jobs HTTP/1.1" 200 -
  [15:24:45] "GET /jobs HTTP/1.1" 200 -
  [15:24:45] "GET /jobs HTTP/1.1" 200 -
  [15:24:45] "GET /perms HTTP/1.1" 200 -
  [15:24:45] "GET /jobs HTTP/1.1" 200 -
  [15:24:45] "GET /jobs HTTP/1.1" 200 -
  [15:24:45] "GET /jobs HTTP/1.1" 200 -
  [15:24:47] "GET /jobs HTTP/1.1" 200 -
  [15:24:47] "GET /perms HTTP/1.1" 200 -
  [15:24:47] "GET /jobs HTTP/1.1" 200 -
  [15:24:48] "GET /jobs HTTP/1.1" 200 -
  [15:24:48] "GET /perms HTTP/1.1" 200 -
  [15:24:49] "GET /jobs HTTP/1.1" 200 -
  [15:24:50] "GET /jobs HTTP/1.1" 200 -
  [15:24:50] "GET /perms HTTP/1.1" 200 -
  [15:24:51] "GET /jobs HTTP/1.1" 200 -
  [15:24:51] "GET /jobs HTTP/1.1" 200 -
  [15:24:51] "GET /perms HTTP/1.1" 200 -
  [15:24:53] "GET /jobs HTTP/1.1" 200 -
  [15:24:53] "GET /perms HTTP/1.1" 200 -
  [15:24:53] "GET /jobs HTTP/1.1" 200 -
  [15:24:54] "GET /jobs HTTP/1.1" 200 -
  [15:24:54] "GET /perms HTTP/1.1" 200 -
  [15:24:55] "GET /jobs HTTP/1.1" 200 -
  [15:24:56] "GET /jobs HTTP/1.1" 200 -
  [15:24:56] "GET /perms HTTP/1.1" 200 -
  [15:24:57] "GET /jobs HTTP/1.1" 200 -
  [15:24:57] "GET /jobs HTTP/1.1" 200 -
  [15:24:57] "GET /perms HTTP/1.1" 200 -
  [15:24:59] "GET /jobs HTTP/1.1" 200 -
  [15:24:59] "GET /perms HTTP/1.1" 200 -
  [15:24:59] "GET /jobs HTTP/1.1" 200 -
  [15:25:00] "GET /jobs HTTP/1.1" 200 -
  [15:25:00] "GET /perms HTTP/1.1" 200 -
  [15:25:01] "GET /jobs HTTP/1.1" 200 -
  [15:25:02] "GET /jobs HTTP/1.1" 200 -
  [15:25:02] "GET /perms HTTP/1.1" 200 -
  [15:25:03] "GET /jobs HTTP/1.1" 200 -
  [15:25:03] "GET /jobs HTTP/1.1" 200 -
  [15:25:03] "GET /perms HTTP/1.1" 200 -
  [15:25:05] "GET /jobs HTTP/1.1" 200 -
  [15:25:05] "GET /perms HTTP/1.1" 200 -
  [15:25:05] "GET /jobs HTTP/1.1" 200 -
  [15:25:06] "GET /jobs HTTP/1.1" 200 -
  [15:25:06] "GET /perms HTTP/1.1" 200 -
  [15:25:07] "GET /jobs HTTP/1.1" 200 -
  [15:25:08] "GET /jobs HTTP/1.1" 200 -
  [15:25:08] "GET /perms HTTP/1.1" 200 -
  [15:25:09] "GET /jobs HTTP/1.1" 200 -
  [15:25:10] "GET /jobs HTTP/1.1" 200 -
  [15:25:10] "GET /perms HTTP/1.1" 200 -
  [15:25:11] "GET /jobs HTTP/1.1" 200 -
  [15:25:11] "GET /perms HTTP/1.1" 200 -
  [15:25:11] "GET /jobs HTTP/1.1" 200 -
  [15:25:28] "GET /jobs HTTP/1.1" 200 -
  [15:25:28] "GET /perms HTTP/1.1" 200 -
  [15:25:28] "GET /jobs HTTP/1.1" 200 -
  [15:25:28] "GET /perms HTTP/1.1" 200 -
  [15:25:28] "GET /jobs HTTP/1.1" 200 -
  [15:25:28] "GET /perms HTTP/1.1" 200 -
  [15:25:28] "GET /jobs HTTP/1.1" 200 -
  [15:25:28] "GET /perms HTTP/1.1" 200 -
  [15:25:28] "GET /jobs HTTP/1.1" 200 -
  [15:25:28] "GET /jobs HTTP/1.1" 200 -
  [15:25:28] "GET /jobs HTTP/1.1" 200 -
  [15:25:28] "GET /jobs HTTP/1.1" 200 -
  [15:25:28] "GET /jobs HTTP/1.1" 200 -
  [15:25:28] "GET /jobs HTTP/1.1" 200 -
  [15:25:28] "GET /jobs HTTP/1.1" 200 -
  [15:25:28] "GET /jobs HTTP/1.1" 200 -
  [15:25:28] "GET /perms HTTP/1.1" 200 -
  [15:25:28] "GET /jobs HTTP/1.1" 200 -
  [15:25:28] "GET /jobs HTTP/1.1" 200 -
  [15:25:29] "GET /perms HTTP/1.1" 200 -
  [15:25:29] "GET /jobs HTTP/1.1" 200 -
  [15:25:29] "GET /jobs HTTP/1.1" 200 -
  [15:25:29] "GET /perms HTTP/1.1" 200 -
  [15:25:29] "GET /jobs HTTP/1.1" 200 -
  [15:25:29] "GET /jobs HTTP/1.1" 200 -
  [15:25:29] "GET /perms HTTP/1.1" 200 -
  [15:25:29] "GET /jobs HTTP/1.1" 200 -
  [15:25:29] "GET /jobs HTTP/1.1" 200 -
  [15:25:29] "GET /perms HTTP/1.1" 200 -
  [15:25:29] "GET /jobs HTTP/1.1" 200 -
  [15:25:29] "GET /perms HTTP/1.1" 200 -
  [15:25:29] "GET /perms HTTP/1.1" 200 -
  [15:25:29] "GET /perms HTTP/1.1" 200 -
  [15:25:30] "GET /jobs HTTP/1.1" 200 -
  [15:25:30] "GET /perms HTTP/1.1" 200 -
  [15:25:31] "GET /jobs HTTP/1.1" 200 -
  [15:25:32] "GET /jobs HTTP/1.1" 200 -
  [15:25:32] "GET /perms HTTP/1.1" 200 -
  [15:25:33] "GET /jobs HTTP/1.1" 200 -
  [15:25:33] "GET /jobs HTTP/1.1" 200 -
  [15:25:33] "GET /perms HTTP/1.1" 200 -
  [15:25:35] "GET /jobs HTTP/1.1" 200 -
  [15:25:35] "GET /perms HTTP/1.1" 200 -
